Id,Text,Category
93,It was the Reagan-Bush administration that brought this man to justice.,Yes
94,"And as the governor of Massachusetts knows, there was no evidence that governor - that Mr. Noriega was involved in drugs, no hard evidence until we indicted him.",Yes
95,And so I think it's about time we get this Noriega matter in perspective.,No
96,Panama is a friendly country.,No
97,"I went down there and talked to the president of Panama about cleaning up their money laundering, and Mr. Noriega was there, but there was no evidence at that time, and when the evidence was there, we indicted him.",Yes
98,And we want to bring him to justice.,No
99,And so call off all those pickets out there that are trying to tear down seven different administrations.,No
105,"Yes, I've been very specific about those, John.",No
106,"And let me lay out for you my own strategy for bring that deficit down, because as a chief executive that's balanced ten budgets in a row, I've had to make those tough decisions and those tough choices.",Yes
107,"First, I've suggested that there are certain weapons systems which we don't need and we can't afford.",No
108,"Mr. Bush has been critical of me for that, but I think those are the kinds of tough choices you have to make.",No
109,"I've also suggested that there are weapons systems that we should proceed on, and I've outlined those in detail.",No
110,"Secondly, we've got to invest in economic growth in this country, in every part of this country.",No
111,Building that kind of growth expands revenues and helps to bring down that deficit.,No
112,"Thirdly, we have to bring interest rates down, and we will as we come up with a good, solid plan with the Congress for bringing that deficit down.",No
113,"And, finally, we've got to go out there and collect billions and billions of dollars in taxes owed that aren't being paid to this country.",Yes
114,It's very unfair to the average taxpayer who pays his taxes and pays them on time to permit these monies to go uncollected.,No
115,I've also suggested that on the domestic side there are areas where we can make some cuts.,No
116,"We ought to be able to come up with an agricultural policy in this country that gives our farm families a fair price and a decent future without spending $20-25 billion a year, which is what we've been doing under this administration.",Yes
117,"We can help people to live better lives, and at the same time save money by helping hundreds of thousands of families on welfare to get off or welfare, and to become productive citizens again.",No
118,The thing I don't understand about Mr. Bush's approach to this is how he could possibly be serious about bringing that deficit down given what he says he wants to do.,No
119,"He seems to want to spend a great deal of money on just about every weapon system; he says he's against new taxes, although he's broken that pledge at least times in the last year that I know of; he wants to give the wealthiest taxpayers in this country a five year, $40 billion tax break.",Yes
120,He also wants to spend a lot of money on additional programs.,No
121,"If he keeps this up, he's going to be the Joe Isuzu of American politics.",No
123,But I hope you won't take my five seconds away from me.,No
124,I will say this -,No
126,"If he's serious about what he's saying, then the only place he can go to balance that budget is to raid the Social Security Trust Fund, and he tried that in 1985, and I think he's going to try it again.",Yes
128,Is this the time to unleash our one-liners?,No
132,"There are so many things there, I don't quite know where to begin.",No
133,"When you cut capital gains, you put people to work.",No
134,John Kennedy proposed cutting capital gains.,Yes
135,"Paul Tsongas, a liberal senator from Massachusetts said the dumbest thing I did was to oppose the capital gains cut.",Yes
136,It's not going to cost the government money.,No
137,"It's going to increase revenues to the federal government, and it's going to create jobs.",No
138,So that's one of the things that I think makes a big difference between us.,No
139,"Massachusetts doesn't have an enormous defense budget, but nevertheless, the governor raised taxes five different times.",Yes
140,That happens to be a fact.,Yes
141,"And so let's kind of stay on the issue, and I have made a specific proposal for what I call a flexible freeze.",No
142,"And it permits - economists on the East Coast and West think it's good - it permits the president to sort out the priorities, and we continue to grow because I will not raise taxes.",No
148,I think it's the Republican Party and my concern to bring it down.,No
149,"And presidential leadership that I want to provide in this area will bring it down, but we've got to get the Democrats - Congress under control.",No
150,"They do all the spending, they appropriate every dime and tell us how to spend every dime.",No
151,"I'd like to ask the Governor to join in getting for the president what 43 governors have, the line-item veto.",Yes
152,He has to operate in Massachusetts under a balanced budget proviso.,No
153,I would like a balanced budget amendment.,No
154,But the dynamics of the economy - we cut the taxes and revenues are up by 25 percent in three years.,Yes
155,So the problem is - it's not that the working is being taxed too little or the person working out - the woman working in some factory being taxed too little.,No
156,It is that we are continuing to spend too much.,No
157,"So, my formula says grow at the rate of inflation.",No
158,Permit the president to set the priorities on where we do the spending.,No
159,"And remember the Federal deficit has come down $70 billion in one year, in 1987.",Yes
160,And if we - and the - actually this year Congress is doing a little better in controlling the growth of spending.,No
161,Spending was only up something like 4 percent.,Yes
162,"So, it isn't that we're taking too little - from taxpayer - we're spending too much still.",No
163,"And the formula I've given you works, we've put it through a good economic model, we've got good economists on the West Coast, Michael Boskin and Marty Feldstein up there who's a very respected economist in the - Massachusetts.",No
164,"And they agree, that if we can do what I've said, we can get it down without going and socking the American taxpayer once again.",No
165,"Capital gains, one more point on that, please let's learn from history.",No
166,"A capital gains differential will increase jobs, increase risk taking, increase revenues to the Federal Government.",No
168,"Well, I hope all of those Americans out there who are watching us, listening to us and trying to make up their mind about which one of us ought to be president of the United States listen to the Vice President very carefully.",No
169,"What he's proposing after over a trillion in new debt which has been added in the Federal debt in the course of the past eight years, an IOU our children and grandchildren will be paying for years, is a tax cut for the wealthiest one percent of the people in this country, an average of about $30,000 that we're going to give to people making $200,000 a year.",Yes
170,Why that's more than the average teacher makes.,Yes
171,"We've had enough of that, ladies and gentlemen.",No
173,"It's time for a chief executive who can make tough choices, can work with the Congress, can get that deficit down and begin to build a strong fiscal foundation under this country.",No
179,"One thing I will not do is sock every business in the country and, thus, throw some people out of work.",No
180,I want to keep this economic recovery going.,No
181,"More Americans at work today than any time in history, a greater percentage of the work force.",Yes
182,What I will do is permit people to buy into Medicaid.,No
183,I believe that's the answer.,No
184,I am proud to have been part of an administration that past the first catastrophic health bill.,Yes
185,And in that there are some Medicaid provisions that will be very helpful to the very kind of people we're talking about here.,No
186,But we've got to keep going forward without killing off the engine and throwing people out of work.,No
187,"So, the answer lies, it seems to me, in full enforcement of the catastrophic program.",No
188,"It lies to me in flexibility in Medicaid so people at the lowest end can buy in there and get their needs covered and then it also - I do not want to see us mandate across the board that every company has to do this, because I really think that marginal operators are going to go say, ""We can't make it.""",No
189,And I think then you're going to see that people are put out of work.,No
190,"All these programs - and this cost on his - is - was - I saw an estimate, I'd love to know what he thinks, $35 - $40 billion - and it seems to me that somebody pays that.",No
191,There isn't any such thing as something free out there.,No
192,It either gets passed along as increased prices or it gets passed along by people being put out of work so the business can continue to compete.,No
193,"So, I think we ought to do it in the Medicaid system.",No
194,I think we ought to do it by full enforcement of the catastrophic health insurance.,No
195,I think we ought to do it by everybody doing what they can do out of conscience.,No
196,It's a terrible problems in terms of flexibility on private insurance.,No
197,But I just don't want to mandate it and risk putting this - setting the recovery back.,No
199,"But, George, that's no answer.",No
200,"You don't like the answer, but it's an answer.",No
201,"Well, no, it's no answer to those 37 million people, most of them members of working families who don't have a dime of health insurance and don't know how to pay the bills if their kids get sick at night.",Yes
203,All of them with little or no health insurance.,No
204,One of them was a father who had been laid off a few months ago and lost his health insurance.,No
205,"Has an 11 year old son and can't let that son compete in sports and Little League, because he's afraid he's going to get hurt and he won't be able to provide health insurance to pay those bills.",No
206,My state just became the only state in the nation to provide for universal health care and we did it with the support of the business community and labor and the health care community and with virtually everybody in the state.,Yes
207,"The fact of the matter is that employers who today are insuring their employees are paying the freight, because they're paying for those who aren't.",No
208,And I think it's time that when you got a job in this country it came with health insurance.,No
209,That's the way we're going to provide basic health security for all of the citizens of this country of ours.,No
215,"Well, Anne, let me just say before I answer your question that I didn't know that the Vice President attacked our program in Massachusetts.",No
217,Because has won the support of a great many people all over the state and I think it's a model for what I hope we can do across the country.,No
218,"But when I proposed my plan this past Tuesday, he or one of his spokesmen called it socialized medicine.",No
220,It was in 1964 and that's what he called Medicare.,No
221,"Well, he was wrong then and he's wrong now.",No
226,Let me say this about AIDS.,No
227,"It's the single most important public health crisis, single most important public health emergency we've had in our lifetimes and I think there are a number of things we have to do including supporting legislation which is now moving through the Congress, which will commit this nation to the resources to find a cure which will provide broad education and prevention, which will provide sensitive and caring treatment for the victims of AIDS.",Yes
229,And I would encourage the current administration to proceed with that kind of flexibility where it's appropriate and where it's done carefully and responsibly.,No
230,But we have not had the kind of leadership we should have had.,No
231,"In this particular area, I think the Vice President and I are in general agreement on what we have to do.",No
232,The special Federal commission made good solid recommendations.,No
233,I think we're both supportive of them and I would strongly lead in that area as I have in my state as Governor.,No
235,"Well, we're on the right track.",No
236,The NIH is doing a good job in research.,No
237,The Surgeon General is doing a good job in encouraging the proper kind of education.,No
238,I notice that the Governor did not mention any testing.,No
239,But we got to have a knowledge base.,No
240,"Testing should be confidential, but we have to have a knowledge.",No
241,We can't simply stick our heads in the sands in terms of testing.,No
242,I'm Chairman of the President's Task Force on Regulatory Relief and we are working with the FDA and they have sped up bringing drugs to market that can help.,No
243,"And you got to be careful here, because there's a safety factor, but I think these things - and then also I am one who believes we've got to go the extra mile in clean - being sure that that blood supply is pure.",No
244,We cannot have a lack of confidence in the blood supply when it comes to operations and surgery and things of this nature.,No
245,"So, research, speeding the drugs to market, testing, blood supply are very important elements of this.",No
259,"Well, I don't question his passion.",No
260,I question - and I don't question his concern about the war in Vietnam.,No
261,He introduced or supported legislation back then that suggested that kids of Massachusetts should be exempt from going overseas in that war.,Yes
262,"Now, that's a certain passion that in my view it's misguided passion.",No
263,He - we have a big difference on issues.,No
264,"You see, last year in the primary, he expressed his passion.",No
265,"He said, ""I am a strong liberal Democrat"" - August, '87.",No
266,"Then he said, ""I am a card-carrying member of the ACLU.""",No
267,That was what he said.,No
268,He is out there on out of the mainstream.,No
270,"My argument with the governor is, do we want this country to go that far left.",No
271,And I wish we had time to let me explain.,No
272,But I salute him for his passion.,No
273,"We just have a big difference on where this country should be led, and in what direction it ought to go.",No
282,But just take a look at the positions of the ACLU.,No
283,"But, Peter, please understand, the liberals do not like me talking about liberal They don't like it when I say that he says he's a card carrying member.",No
284,"Now, if that quote was wrong, he can repudiate it, right here.",No
285,"I've seen it authoritatively written twice, and if I've done him an injustice, and he didn't say it, I'm very, very sorry.",No
286,But I don't agree with a lot of - most of the positions of the ACLU.,No
287,I simply don't want to see the ratings on movies.,No
288,I don't want my ten year old grandchild to go into an X-rated movie.,No
289,I like those ratings systems.,No
290,I don't think they're right to try to take the tax exemption away from the Catholic Church.,No
291,"I don't want to see the kiddie pornographic laws repealed; I don't want to see ""under God"" come out from our currency.",No
292,"Now, these are all positions of the ACLU.",No
293,And I don't agree with them.,No
294,"He has every right to exercise his passion, as what he said, a strong, progressive liberal.",No
295,I don't agree with that.,No
296,I come from a different point.,No
297,And I think I'm more in touch with the mainstream of America.,No
298,They raised the same thing with me on the Pledge of Allegiance.,No
299,"You see, I'd have found a way to sign that bill.",No
300,Governor Thompson of Illinois did.,No
301,I'm not questioning his patriotism.,No
302,He goes out and says the man is questioning my patriotism.,No
303,And then all the liberal columnists join in.,No
305,"I am questioning his judgment on these matters, or where he's coming from He has every right to do it.",No
306,"But I believe that's not what the American people want, and when he said, when he said at the convention, ideology doesn't matter, just competence, he was moving away from his own record, from what his passion has been over the years.",Yes
307,"And that's all I'm trying to do, is put it in focus.",No
308,And I hope people don't think that I'm questioning his patriotism when I say he used his words to describe his participation in that organization.,No
310,"Well, I hope this is the first and last time I have to say this.",No
311,"Of course, the vice president is questioning my patriotism.",No
312,"I don't think there's any question about that, and I resent it.",No
314,My parents came to this country as immigrants.,No
315,They taught me that this was the greatest country in the world.,No
316,I'm in public service because I love this country.,No
318,And nobody's going to question my patriotism as the vice president has now repeatedly.,No
319,The fact of the matter is if the Pledge of Allegiance was the acid test of one's patriotism--the vice president's been the presiding officer in the United States Senate for the past seven and a half years.,No
320,To the best of my knowledge he's never once suggested that a session of the Senate begin with the Pledge of Allegiance.,Yes
322,"Mr. Bush, I don't question your patriotism.",No
323,"When you're attacked for your military record, I immediately said it was inappropriate, it had no place in this campaign, and I rejected it.",Yes
324,"I would hope that from this point on, we get to the issues that affect the vast majority of Americans, jobs, schools, health care, housing, the environment.",No
325,Those are the concerns of the people that are watching us tonight.,No
326,"Not labels that we attach to each other, questions about each other's patriotism and loyalty.",No
333,I want to see the McKinney Act fully funded.,No
334,I believe that that would help in terms of shelter.,No
335,"I want to see - when I talked at our convention about a thousand points of light, I was talking about the enormous numbers of shelters and organizations that help.",No
336,The governor's wife has been very active in the homeless.,No
337,"My campaign chairman, Secretary Jim Baker's wife.",No
339,"These are people that care, that are trying to give of themselves.",No
340,The government has a role.,No
341,It is to fully fund the McKinney Act.,No
342,There are certain army bases that the act calls for that can be used in certain cases to shelter people when it's rough.,Yes
343,And so I think that we're on the right track.,No
344,"I don't see this, incidentally, as a Democrat or a Republican or a liberal or conservative idea.",No
345,I see an involvement by a thousand points of light.,No
346,"I see the funding that is required, and I hope the Congress will fully fund this bill.",No
347,They gave it a great deal of conscience and a great deal of work.,No
348,And we're on the track on this one.,No
349,"But - and I, look, mental - that was a little overstated it.",No
350,I'd say around 30 percent.,No
351,And I think maybe we could look back over our shoulders and wonder whether it was right to let all those mental patients out.,No
352,Maybe we need to do a better job in mental clinics to help them.,No
353,Because there is a major problem there.,No
354,A lot of them are mentally sick.,No
355,And we've got to attend to them.,No
356,"But fully, my short range answer is fully fund that McKinney Act.",No
358,"Well, this is another fundamental difference that I have with the vice president, just as I do in the case of health care for 37 million members of working families in this country who don't have health insurance.",Yes
359,"The problem, Mr. Bush, is that you've cut back by 90 percent on our commitment to affordable housing for families of low and moderate income.",Yes
360,"And when you do that, you've have homeless families.",No
361,"We didn't have two and a half million, or three million homeless people living on streets and in doorways in this country ten years ago.",Yes
362,We've got to begin to get back to the business of building and rehabilitating housing for families of low and moderate income in this country; housing for young families that they can look forward some day to buy.,No
363,We've got communities in this country increasingly where our own kids can't afford to live in the communities that they grew up in.,No
365,And I think the housing community is ready.,No
366,"But it's going to take a president who's committed to housing, who's had experience in building and rehabilitating housing who understands that affordable housing for families of low and moderate income, for young families, first time home buyers, is an essential part of the American dream.",No
367,"And while I'm all for the McKinney bill, that, by itself, simply won't do.",No
368,"We've got to have a president that can lead on this issue, that can work with the Congress, and I'm prepared to do so.",No
369,This is one of the most important priorities that faces this country.,No
373,"Well, I certainly hope not.",No
374,And it's all a question of what our priorities are.,No
375,Mr. Bush talked about values.,No
378,"Isn't providing housing for families of low and moderate income, isn't it making possible for young families, first time home buyers to own their own home some day something that's part of the American dream?",No
380,"You know, back after World War II when we had hundreds of thousands of GIs who came back from the war, we didn't sit around.",Yes
381,We went out and built housing.,No
382,The government was very much involved; so was the housing industry; so was the banking industry; so were housing advocates; so were non-profit agencies; so were governors and mayors and people all over this country who believe deeply in home ownership and affordable housing.,No
383,"Now, that's the kind of leadership that I want to provide as president of the United States.",No
385,This is a question of organizing the housing community.,No
386,"I've talked to bankers and builders and developers, the housing advocates, community development agencies, and they want leadership from Washington.",No
387,"Washington, by itself, can't do it all.",No
389,But governors are ready; mayors are ready.,No
390,Builders and community leaders are ready.,No
391,"It will require some funds, John.",No
392,And we ought to be prepared to provide those funds.,No
393,"But that, too, will require some choices.",No
394,Mr. Bush wants to spend billions and trillions on Star Wars.,No
395,"Well, that's a choice we have to make, isn't it?",No
396,"Do we spend money on that weapon system in the billions and trillions, or is providing some decent and affordable housing for families of this country something that is at least as important and probably more so.",No
397,Because it's so essential to our economic strength and to our future.,No
398,"Now, that's the kind of presidency I believe in.",No
399,"And simply to say, well, the McKinney bill will do it just doesn't do.",No
400,"We need a president who will lead on this issue, who has had experience on this issue.",No
401,It's the kind of priority that will be at the top of our list beginning in January of 1989.,No
403,I think the governor is blurring housing and the homeless.,No
404,Let's talk about housing which the question was.,No
405,"When you talk to those bankers, did they discuss where interest rates were when your party controlled the White House?",No
406,Ten days before I took the oath of office as president they were 21 and a half percent.,Yes
407,"Now, how does that grab you for increasing housing?",No
409,We are serving a million more families now.,Yes
410,"But we're not going to do it in that old Democratic, liberal way of trying to build more bricks and mortars.",No
414,I want to see more vouchers.,No
415,"I want to see control of some of these projects, and I want to keep the interest rates down.",No
416,"They're half, now of what they were when we came into office, and with my policy of getting this deficit under control, they'll be a lot less.",Yes
417,"But if we spend and spend and spend, that is going to wrap up the housing market, and we'll go right back to the days of the misery index and malaise that President Reagan and I have overcome - thank God for the United States on that one.",No
421,"No, I don't think there is.",No
422,"There are two very different issues here, and they've got to be dealt with separately.",No
423,I'm opposed to the death penalty.,No
424,I think everybody knows that.,No
425,I'm also very tough on violent crime.,No
426,And that's one of the reasons why my state has cut crime by more than any other industrial state in America.,Yes
427,It's one of the reasons why we have the lowest murder rate of any industrial state in the country.,Yes
428,"It's one of the reasons why we have a drug education and prevention program that is reaching out and helping youngsters all over our state, the kind of thing I want to do as president of the United States.",No
429,"You know, the vice president says he wants to impose the death penalty on drug traffickers, and yet his administration has a federal furlough program which is one of the most permissive in the country, which gave last year 7,000 furloughs to drug traffickers and drug pushers, the same people that he says he now wants to execute.",Yes
430,"The issue of abortion is a very difficult issue, one that I think that we all have to wrestle with, we have to come to terms with.",No
433,I don't think most people do.,No
434,The question is who makes the decision.,No
435,"And I think it has to be the woman, in the exercise of her own conscience and religious beliefs, that makes that decision.",No
437,"Well, the Massachusetts furlough program was unique.",No
438,It was the only one in the nation that furloughed murderers who had not served enough time to be eligible for parole.,Yes
439,The federal program doesn't do that.,Yes
440,No other state programs do that.,Yes
441,And I favor the death penalty.,No
442,I know it's tough and honest people can disagree.,No
443,"But when a narcotics wrapped up guy goes in and murders a police officer, I think they ought to pay with their life.",No
444,And I do believe it would be inhibiting.,No
445,"And so I am not going to furlough men like Willie Horton, and I would meet with their, the victims of his last escapade, the rape and the brutalization of the family down there in Maryland.",No
446,"Maryland would not extradite Willie Horton, the man who was furloughed, the murderer, because they didn't want him to be furloughed again.",Yes
447,And so we have a fundamental difference on this one.,No
448,And I think most people know my position on the sanctity of life.,No
450,I do not favor abortion.,No
457,I haven't sorted out the penalties.,No
458,"But I do know, I do know that I oppose abortion.",No
460,"And if we can get this law changed, everybody should make the extraordinary effort to take these kids that are unwanted and sometimes aborted, take the - let them come to birth, and then put them in a family where they will be loved.",No
461,"And you see, yes, my position has evolved.",No
462,"And it's continuing to evolve, and it's evolving in favor of life.",No
463,"And I have had a couple of exceptions that I support - rape, incest and the life of the mother.",No
464,"Sometimes people feel a little uncomfortable talking about this, but it's much clearer for me now.",No
465,"As I've seen abortions sometimes used as a birth control device, for heavens sakes.",Yes
466,"See the millions of these killings accumulate, and this is one where you can have an honest difference of opinion.",No
468,"But no, I'm for the sanctity of life, and once that illegality is established, then we can come to grips with the penalty side, and of course there's got to be some penalties to enforce the law, whatever they may be.",No
470,"Well, I think what the vice president is saying is that he's prepared to brand a woman a criminal for making this decision.",No
471,It's as simple as that.,No
472,"I don't think it's enough to come before the American people who are watching us tonight and say, well, I haven't sorted it out.",No
473,"This is a very, very difficult and fundamental decision that all of us have to make.",No
474,"And what he is saying, if I understand him correctly, is that he's prepared to brand a woman a criminal for making this choice.",No
477,"Let me simply say that I think it has to be the woman in the exercise of her own conscience and religious beliefs that makes that decision, and I think that's the right approach, the right decision, and I would hope by this time that Mr. Bush had sorted out this issue and come to terms with it as I have.",No
478,I respect his right to disagree with me.,No
479,"But I think it's important that we have a position, that we take it, and we state it to the American people.",No
487,"One of the reasons, and I first would like to know which programs you're talking about, and then we could talk on the merits of the programs.",No
488,"But, you see, my fundamental philosophy is give local and state government as much control as possible.",No
489,"That might be the explanation, if you tell me the program.",No
490,I do strongly support the WIC program.,No
491,I think it is good.,No
492,"I think part of the answer to this haunting of these children that are out there and suffering lies in extension of Medicaid, to challenge the states, and maybe we're going to have to enforce more on the states in terms of Medicaid taking care of these.",No
493,"But, Peter, so much of it is, gets into a whole other phase of things.",No
494,"The neighborhood, the kind of environment people are growing up in, and that leads me to the programs I'm talking about in terms of education.",No
495,"I think that part of it is the crime infested neighborhoods, and that's why I'm a strong believer in trying to control crimes in the neighborhood, why I was so pleased to be endorsed by the policemen on the beat, the Boston Police Department the other day.",No
496,I think they understand my commitment to helping them in the neighborhoods.,No
497,And so it's a combination of these things.,No
498,But do not erode out of the system the thousand points of light.,No
499,"The people that are out there trying to help these kids, the programs like cities and schools, the work that Barbara Bush is doing so people can learn to read in this country and then go on and break this cycle of poverty.",No
500,I'm for Head Start and moving that up.,No
501,"And I've already made a proposal - and yes, it will cost some money.",No
503,"So these are the combination of things I want, and the fact that I don't think the federal government can endorse a $35 billion program does not mean I have less compassion than the person who endorses such a program.",No
505,"Well, I must have been living through a different eight years then the ones the vice president's been living through, because this administration has cut and slashed and cut and slashed programs for children, for nutrition, for the kinds of things that can help these youngsters to live better lives.",Yes
506,It's cut federal aid to education; it's cut Pell grants and loans to close the door to college opportunity on youngsters all over this country.,Yes
507,"And that, too, is a major difference between the vice president and me.",No
508,Let me just give you one other example.,No
509,"We have a great many people, hundreds of thousands of people living on public assistance in this country.",Yes
510,"The 50 governors of this nation have proposed to the Congress that we help those families to get off of welfare, help those youngsters, help their mothers to become independent and self-sufficient.",Yes
511,"It's taken months and months and months to get Mr. Bush and the administration to support that legislation, and they're still resisting.",Yes
512,That's the way you help people.,No
513,"Being haunted, a thousand points of light - I don't know what that means.",No
514,I know what strong political leadership is.,No
515,I know what's happened over the course of the past eight years.,No
516,"These programs have been cut and slashed and butchered, and they've hurt kids all over this country.",No
521,"Well, I said a few minutes ago, Peter, that you could improve the lives of families and youngsters and save money at the same time.",No
522,Welfare reform is one way to do it.,No
523,"If we invest in job training, in child care for those youngsters, in some extended health benefits so that that mother and her kids don't lose their health benefits when she goes to work, we can help literally hundreds of thousands, if not millions of families, to get off of welfare, to become independent and self-sufficient, to be taxpaying citizens, and to improve their lives, the quality of lives, their futures, and the futures of those children.",No
524,That's just one example of how you can save money and improve the quality of life at the same time.,No
525,"In my own state, for example, we now have that universal health care system, which the vice president opposes, I think very unwisely.",Yes
526,One of the greatest barriers to opportunity for a family and for those children is the threat that they mat lose their health insurance.,No
527,Think about that father down there in Houston who has to tell his youngster that he can't play little league ball that he can't go out on the ball field because he's afraid he's going to get hurt.,No
528,"And yet, Mr. Bush says well, I don't think we ought to expect business to provide health insurance for their employees, when responsible employers, a majority of employers in this country do and are paying more for their insurance to reimburse hospitals for free care on account of people that are not insured, that have to go to that hospital.",Yes
529,"So these are the ways that you help families, you help youngsters to live better lives, and more decent lives.",No
530,"Were ready to go to work at the state and local level, all of us.",No
531,I know the private sector is.,No
532,People are all over the country.,No
533,But it takes presidential leadership.,No
534,It takes a commitment to being involved and the leading.,No
535,And that's the kind of presidency I want to lead.,No
537,"What troubles me is that when I talk of the voluntary sector and a thousand points of light and a thousand different ways to help on these problems, the man has just said he doesn't understand what I'm talking about.",No
538,This is the problem I have with the big spending liberals.,No
539,They think the only way to do it is for the federal government to do it all.,No
540,The fact happens to be that education spending is up by the federal government; it is up.,Yes
542,But here's the point he misses.,No
544,"But the federal spending for education is up, and I want to be the education president, because I want to see us do better.",Yes
545,"We're putting more money per child into education, and we are not performing as we should.",Yes
546,We've gotten away fro values and the fundamentals.,No
547,And I would like to urge the school superintendents and the others around the country to stand up now and keep us moving forward on a path towards real excellence.,No
548,And we can do it.,No
549,"But itÃâ‚¬s not going to be dedicated by some federal bureaucracy in Washington, D.C.",No
